AQ Zone ID,Station Name
ZON-BG0001,AMS Mladost-Sofia
ZON-BG0001,AMS ExEA/Pavlovo-Sofia
ZON-BG0001,AMS Orlov most-Sofia
ZON-BG0001,AMS Hipodruma-Sofia
ZON-BG0001,AMS Nadezhda-Sofia
ZON-BG0001,AMS Druzhba -Sofia
ZON-BG0001,AMS Kopitoto
ZON-BG0001,Gara Yana
ZON-BG0002,AMS Trakia - Plovdiv
ZON-BG0002,AMS Bania Starinna-Plovdiv
ZON-BG0002,AMS Kamenitsa-Plovdiv
ZON-BG0002,Dolni Voden
ZON-BG0002,RIEW - Asenovgrad
ZON-BG0003,AMS Chaika - Varna
ZON-BG0003,AMS SOU Angel Kanchev-Varna
ZON-BG0003,AMS Batak-Varna
ZON-BG0003,AMS Yan Palah-Varna
ZON-BG0003,AMS Izvorite-Devnya
ZON-BG0004,AMS Patriarch Evtimiy - Pleven
ZON-BG0004,AMS Vidin 2
ZON-BG0004,AMS OU Han Asparuh-Dobrich
ZON-BG0004,AMS Vidin
ZON-BG0004,AMS Dobrich
ZON-BG0004,AMS Lovech
ZON-BG0004,AMS Gorna Oryahovitsa
ZON-BG0004,AMS Shumen
ZON-BG0004,AMS Vazrazhdane-Ruse
ZON-BG0004,AMS Railway Station-Vratsa
ZON-BG0004,RIEW - Montana
ZON-BG0004,RIEW-Veliko Tarnovo
ZON-BG0004,AMS Pleven
ZON-BG0005,AMS Center-Pernik
ZON-BG0005,AMS Shahtyor-Pernik
ZON-BG0005,Tsarkva - Pernik
ZON-BG0005,AMS Blagoevgrad
ZON-BG0005,Pirdop
ZON-BG0005,AMS Studen kladenets-Kardzhali
ZON-BG0005,AMS Bibliotekata-Smolyan
ZON-BG0005,AMS Smolyan
ZON-BG0005,AMS Rozhen peak
ZON-BG0006,AMS Nesebar
ZON-BG0006,RIEW-Burgas
ZON-BG0006,RIEW-Haskovo
ZON-BG0006,AMS Meden rudnik-Burgas
ZON-BG0006,AMS Zelen klin-Stara Zagora
ZON-BG0006,AMS Sliven
ZON-BG0006,AMS Dolno Ezerovo-Burgas
ZON-BG0006,AMS Rakovski-Dimitrovgrad
ZON-BG0006,RIEW-Stara Zagora
ZON-BG0006,AMS Galabovo
ZON-BG0006,RIEW - Pazardzhik
